# Data from paperscape.org
# If you use this data, please give due credit to: Damien P. George and Rob Knegjens, Paperscape
# A citable DOI for this data can be found at http://github.com/paperscape/paperscape-data
#
# Format is 1 line per entry, with 7 fields separated by semicolons:
# arxiv-id;comma-separated-arxiv-categories;num-found-refs;num-total-refs;comma-separated-refs;comma-separated-authors;title
# Parse with Python code: entries = [line.split(";", 7) for line in open("file")]
# See comments at the bottom of this file for statistics
hep-lat/9107001;hep-lat;0;0;;U.M.Heller,H.Neuberger,P.Vranas;How to Put a Heavier Higgs on the Lattice
hep-lat/9107002;hep-lat;0;0;;N.A.Alves,B.Al.Berg,S.Sanielevici;Spectral Density Study of the SU(3) Deconfining Phase Transition
hep-th/9108001;hep-th;0;0;;J.H.Horne,G.T.Horowitz;Exact Black String Solutions in Three Dimensions
hep-th/9108002;hep-th;0;0;;A.Mikovic;Hamiltonian construction of W-gravity actions
hep-th/9108003;hep-th;0;17;;K.Huitu,D.Nemeschansky;Supersymmetric Gelfand-Dickey Algebra
hep-th/9108004;hep-th;0;24;;E.Witten;Ground Ring Of Two Dimensional String Theory
hep-th/9108005;hep-th;0;28;;K.Intriligator;Fusion Residues
hep-th/9108006;hep-th;0;0;;H.Ooguri,N.Sasakura;Discrete and Continuum Approaches to Three-Dimensional Quantum Gravity
hep-th/9108007;hep-th;0;26;;A.LeCLair,F.Smirnov;Infinite Quantum Group Symmetry of Fields in Massive 2D Quantum Field Theory
hep-th/9108008;hep-th;0;32;;J.Sonnenschein,S.Yankielowicz;Novel Symmetries of Topological Conformal Field theories
hep-th/9108009;hep-th;0;0;;P.A.Griffin;Solving 3+1 QCD on the Transverse Lattice Using 1+1 Conformal Field Theory
hep-th/9108010;hep-th;0;35;;M.Spiegelglas;String Winding in a Black Hole Geometry
hep-th/9108011;hep-th;0;0;;A.Sen;Twisted Black p-Brane Solutions in String Theory
hep-th/9108012;hep-th;0;0;;G.Gilbert;On the Perturbations of String-Theoretic Black Holes
hep-th/9108013;hep-th;0;0;;W.Lerche,D.Smit,N.Warner;Differential Equations for Periods and Flat Coordinates in Two Dimensionsional Topological Matter Theories
hep-th/9108014;hep-th;0;51;;C.Crnkovic,M.Douglas,G.Moore;Loop Equations and the Topological Phase of Multi-Cut Matrix Models
hep-th/9108015;hep-th;0;0;;F.David,H.Neuberger;A $U(N)$ Gauge Theory in Three Dimensions as an Ensemble of Surfaces
hep-th/9108016;hep-th;0;29;;S.Dalley,C.Johnson,T.Morris;Non-Perturbative 2D Quantum Gravity, Again
hep-th/9108017;hep-th;0;0;;C.Gomez,G.Sierra;A New Solution to the Star--Triangle Equation Based on U$_q$(sl(2)) at Roots of Unit
hep-th/9108018;hep-th;0;25;;J.Lukierski,A.Novicki,H.Ruegg;Real Forms of Complex Quantum Anti de Sitter Algebra $U_q (Sp(4,C))$ and their Contraction Schemes
hep-th/9108019;hep-th;0;0;;I.R.Klebanov;String Theory in Two Dimensions
hep-th/9108020;hep-th;0;0;;J.A.Harvey,A.Strominger;String Theory and the Donaldson Polynomial
hep-th/9108021;hep-th;0;0;;N.Berkovits,M.T.Hatsuda,W.Siegel;The big picture
hep-th/9108022;hep-th;0;67;;J.H.Schwarz;Superstring Compactification and Target Space Duality
hep-th/9108023;hep-th;0;0;;P.Bouwknegt,J.McCarthy,K.Pilch;Fock space resolutions of the Virasoro highest weight modules with c<=1
hep-th/9108024;hep-th;0;25;;F.Colomo,A.Koubek,G.Mussardo;On the S-matrix of the Sub-leading Magnetic Deformation of the Tricritical Ising Model in Two Dimensions
hep-th/9108025;hep-th;0;35;;E.Abdalla,M.C.B.Abdalla,D.Dalmazi,K.Harada;Correlation functions in super Liouville theory
hep-th/9108026;hep-th;0;23;;S.Nojiri;Superstring in Two Dimensional Black Hole
hep-th/9108027;hep-th;0;0;;N.Sakai,Y.Tanii;Factorization and Topological States in $c=1$ Matter Coupled to 2-D Gravity
hep-th/9108028;hep-th;0;0;;P.Ginsparg;Applied Conformal Field Theory
hep-th/9109001;hep-th;0;19;;P.C.Argyres,S.-H.H.Tye;Fractional Superstrings with Space-Time Critical Dimensions Four and Six
hep-th/9109002;hep-th;0;0;;G.T.Horowitz;Ashtekar's Approach to Quantum Gravity
hep-th/9109003;hep-th;0;40;;J.Bienkowska;The renormalization group flow in 2D N=2 SUSY Landau-Ginsburg models
hep-th/9109004;hep-th;0;0;;X.Shen,X.J.Wang;Bosonisation of the Complex-boson realisation of $W_∞$
hep-th/9109005;hep-th;0;72;;P.D.Francesco,D.Kutasov;World Sheet and Space Time Physics in Two Dimensional (Super) String Theory
hep-th/9109006;hep-th;0;19;;S.Carlip;(2+1)-Dimensional Chern-Simons Gravity as a Dirac Square Root
hep-th/9109007;hep-th;0;28;;J.Polchinski;High Temperature Limit of the Confining Phase
hep-th/9109008;hep-th;0;27;;Z.Yang;Effective Superstrings
hep-th/9109009;hep-th;0;38;;F.Yu;Bi-Hamiltonian Sturcture of Super KP Hierarchy
hep-th/9109010;hep-th;0;19;;A.Deckmyn,S.Schrans;W3 Constructions on Affine Lie Algebras
hep-th/9109011;hep-th;0;37;;M.Caselle,R.Fiore,F.Gliozzi,P.Provero,S.Vinti;Critical Boundary Conditions for the Effective String
hep-th/9109012;hep-th;0;23;;D.Minic,Z.Yang;Is S=1 for c=1?
hep-th/9109013;hep-th;0;0;;D.Karabali;Collective Field Representation of Nonrelativistic Fermions in (1+1) Dimensions
hep-th/9109014;hep-th;0;0;;N.J.Burroughs,Mark F.deGroot,T.J.Hollowood,J.L.Miramontes;Generalized Drinfeld-Sokolov Hierarchies II: The Hamiltonian Structures
hep-th/9109015;hep-th;0;0;;A.Schwarz;On the solutions to the string equation
hep-th/9109016;hep-th;1;44;hep-th/9201061;F.D.Mazzitelli,N.Mohammedi;Classical Gravity Coupled to Liouville Theory
hep-th/9109017;hep-th;0;14;;M.Bauer,N.Sochen;Singular vectors by Fusions in affine su(2)
hep-th/9109018;hep-th;0;0;;J.Ambjorn,C.V.Johnson,T.R.Morris;Stochastic Quantization vs. KdV Flows in 2D Quantum Gravity
hep-th/9109019;hep-th;0;75;;G.Felder,A.LeClair;Restricted Quantum Affine Symmetry of Perturbed Minimal Models
hep-th/9109020;hep-th;0;25;;A.LeClair;Infinite Quantum Group Symmetry in 2d Quantum Field Theory
hep-th/9109021;hep-th;0;57;;P.Fendley;Excited-state thermodynamics
hep-th/9109022;hep-th;0;0;;A.Sen;Some Applications of String Field Theory
hep-th/9109023;hep-th;0;55;;F.Falceto,K.Gawedzki;On quantum group symmetries of conformal field theories
hep-th/9109024;hep-th;0;36;;K.Aoki,E.D'Hoker;On the Liouville Approach to Correlation Functions for 2-D Quantum Gravity
hep-th/9109025;hep-th;0;49;;K.Aoki,E.D'Hoker;Correlation functions of minimal models coupled to two dimensional quantum supergravity
hep-th/9109026;hep-th;0;0;;S.P.Khastgir,A.Kumar;String Effective Action and Two Dimensional Charged Black Hole
hep-th/9109027;hep-th;0;61;;J.Ellis,N.E.Mavromatos,D.V.Nanopoulos;On the connection between Quantum Mechanics and the geometry of two-dimensional strings
hep-th/9109028;hep-th;0;0;;S.K.Rama;New Special Operators in $W$-Gravity Theories
hep-th/9109029;hep-th;0;64;;I.Bakas,E.Kiritsis;Beyond the Large N Limit: Non-linear W(infinity) as symmetry of the SL(2,R)/U(1) coset model
hep-th/9109030;hep-th;0;0;;G.T.Horowitz;Topology Change in General Relativity
hep-th/9109031;hep-th;0;40;;N.Mohammedi;Constant Curvature and Non-Perturbative W3 Gravity
hep-th/9109032;hep-th;0;17;;I.R.Klebanov,A.M.Polyakov;Interaction of Discrete States in Two-Dimensional String Theory
hep-th/9109033;hep-th;0;10;;J.T.Wheeler;SU(3) x SU(2) x U(1): The residual symmetry of extended conformal gravity
hep-th/9109034;hep-th;0;0;;C.G.Torre;A Deformation Theory of Self-Dual Einstein Spaces
hep-th/9109035;hep-th;0;0;;B.Gato-Rivera,A.N.Schellekens;Classification of Simple Current Invariants
hep-th/9109036;hep-th;0;33;;A.V.Proeyen;Batalin-Vilkovisky Lagrangian Quantisation
hep-th/9109037;hep-th;0;37;;L.A.-G.Ph.Zaugg;Some Correlation Functions of Minimal Superconformal Models Coupled to Supergravity
hep-th/9109038;hep-th;0;0;;S.F.Hassan,A.Sen;Twisting Classical Solutions in Heterotic String Theory
hep-th/9109039;hep-th;0;0;;J.P.Gauntlett;A $κ$-Symmetry Calculus for Superparticles
hep-th/9109040;hep-th;0;12;;T.Banks,M.Dine,N.Seiberg;Irrational Axions as a Solution of The Strong CP Problem in an Eternal Universe
hep-th/9109041;hep-th;0;0;;A.Cappelli,J.I.Latorre,X.Vilasis-Cardona;Renormalization Group Patterns and C-Theorem in More Than Two Dimensions
hep-th/9109042;hep-th;0;25;;P.D.Francesco,P.Mathieu;Singular Vectors and Conservation Laws of Quantum KdV type equations
hep-th/9109043;hep-th;0;0;;M.Cvetic;Implications of Target Space Duality
hep-th/9109044;hep-th;1;43;hep-th/9205068;M.Cvetic;Topological Defects in the Moduli Sector of String Theory
hep-th/9109045;hep-th;0;12;;T.Banks,M.Dine;Note on Discrete Gauge Anomalies
hep-th/9109046;hep-th;0;0;;T.Hollowood,L.Miramontes,A.Pasquinucci,C.Nappi;Hermitian vs. Anti-Hermitian 1-Matrix Models and Their Hierarchies
hep-th/9109047;hep-th;0;32;;O.Alvarez,I.M.Singer,P.Windey;The supersymmetric sigma model and the geometry of the Weyl-Kac character formula
