# Data from paperscape.org
# If you use this data, please give due credit to: Damien P. George and Rob Knegjens, Paperscape
# A citable DOI for this data can be found at http://github.com/paperscape/paperscape-data
#
# Format is 1 line per entry, with 7 fields separated by semicolons:
# arxiv-id;comma-separated-arxiv-categories;num-found-refs;num-total-refs;comma-separated-refs;comma-separated-authors;title
# Parse with Python code: entries = [line.split(";", 7) for line in open("file")]
# See comments at the bottom of this file for statistics
nucl-th/9401002;nucl-th;2;28;nucl-th/9211002,hep-ph/9303259;K.Egiyan,L.Frankfurt,W.R.Greenberg,G.A.Miller,M.Sargsyan,M.Strikman;Searching for Color Coherent Effects at Intermediate $Q^2$ via Double Scattering Processes
hep-th/9401010;hep-th;1;23;hep-th/9201013;S.Kharchev,A.Marshakov;Quantization of string theory for $c ≤1$
hep-th/9401011;hep-th;0;0;;D.Dalmazi;A new constraints separation for the original D=10 massless superparticle
hep-ph/9401208;hep-ph;4;25;hep-ph/9204205,hep-ph/9302221,hep-ph/9302223,hep-ph/9304321;J.M.Cline,K.Kainulainen,K.A.Olive;Protecting the Primordial Baryon Asymmetry From Erasure by Sphalerons
hep-ph/9401209;hep-ph;9;62;hep-ph/9206230,hep-ph/9208221,hep-ph/9209248,hep-ph/9209256,hep-ph/9209275,hep-ph/9211239,hep-ph/9301242,hep-ph/9309301,hep-ph/9310309;A.Momen,J.Schechter,A.Subbaraman;Heavy Quark Solitons: Strangeness and Symmetry Breaking
hep-ph/9401210;hep-ph;1;17;hep-ph/9301236;J.-P.Blaizot,E.Iancu;Non-Abelian Excitations of the Quark-Gluon Plasma
hep-ph/9401211;hep-ph;5;33;hep-th/9201058,hep-ph/9301236,hep-ph/9305241,hep-th/9305178,hep-ph/9307326;J.-P.Blaizot,E.Iancu;Energy-Momentum Tensors for the Quark-Gluon Plasma
astro-ph/9401005;astro-ph;0;0;;R.J.Nemiroff,W.A.D.T.Wickramasinghe;Finite Source Sizes and the Information Content of MACHO-Type Lens Search Light Curves
patt-sol/9401002;patt-sol,nlin.PS;0;0;;A.Hagberg,E.Meron;From Labyrinthine Patterns to Spiral Turbulence
math/9401202;math.LO;0;103;;A.Miller;Descriptive set theory and forcing; How to prove theorems about Borel sets the hard way
solv-int/9401001;solv-int,nlin.SI;0;0;;J.Langer,R.Perline;Local Geometric Invariants of Integrable Evolution Equations
nucl-th/9401003;nucl-th,hep-ph;2;23;hep-ph/9302298,hep-ph/9306231;K.L.Haglin,C.Gale;Properties of the phi meson at finite temperature
